name,region,date,value
Number of applications for consumer loans,Volgograd region,2014-11-15,12817
Number of applications for consumer loans,Volgograd region,2014-12-15,13741
Number of applications for consumer loans,Volgograd region,2015-01-15,4134
Number of applications for consumer loans,Volgograd region,2015-02-15,5551
Number of applications for consumer loans,Volgograd region,2015-03-15,6617
Number of applications for consumer loans,Volgograd region,2015-04-15,8283
Number of applications for consumer loans,Volgograd region,2015-05-15,7593
Number of applications for consumer loans,Volgograd region,2015-06-15,15516
Number of applications for consumer loans,Volgograd region,2015-07-15,16493
Number of applications for consumer loans,Volgograd region,2015-08-15,14743
Number of applications for consumer loans,Volgograd region,2015-09-15,13181
Number of applications for consumer loans,Volgograd region,2015-10-15,12403
Number of applications for consumer loans,Volgograd region,2015-11-15,11131
Number of applications for consumer loans,Volgograd region,2015-12-15,15910
Number of applications for consumer loans,Volgograd region,2016-01-15,9251
Number of applications for consumer loans,Volgograd region,2016-02-15,10316
Number of applications for consumer loans,Volgograd region,2016-03-15,12136
Number of applications for consumer loans,Volgograd region,2016-04-15,12959
Number of applications for consumer loans,Volgograd region,2016-05-15,13320
Number of applications for consumer loans,Volgograd region,2016-06-15,14521
Number of applications for consumer loans,Volgograd region,2016-07-15,14587
Number of applications for consumer loans,Volgograd region,2016-08-15,15793
Number of applications for consumer loans,Volgograd region,2016-09-15,14502
Number of applications for consumer loans,Volgograd region,2016-10-15,12797
Number of applications for consumer loans,Volgograd region,2016-11-15,13231
Number of applications for consumer loans,Volgograd region,2016-12-15,15852
Number of applications for consumer loans,Volgograd region,2017-01-15,10602
Number of applications for consumer loans,Volgograd region,2017-02-15,11360
Number of applications for consumer loans,Volgograd region,2017-03-15,15144
Number of applications for consumer loans,Volgograd region,2017-04-15,11985
Number of applications for consumer loans,Vologda Region,2013-01-15,6121
Number of applications for consumer loans,Vologda Region,2013-02-15,4665
Number of applications for consumer loans,Vologda Region,2013-03-15,5966
Number of applications for consumer loans,Vologda Region,2013-04-15,8016
Number of applications for consumer loans,Vologda Region,2013-05-15,8438
